Date;Time;Acc_ms2;Force_N;Rotation_deg_s;File2025-12-27;09:54:10;21.14;84.6;212.83;saved_graphs/hit_20251227_095410_MOMENT.png
2025-12-27;09:57:50;23.63;63.4;200.09;saved_graphs/hit_20251227_095750_MOMENT.png
2025-12-27;09:57:53;24.48;65.7;83.39;saved_graphs/hit_20251227_095753_MOMENT.png
2025-12-27;09:57:58;27.71;74.4;106.59;saved_graphs/hit_20251227_095758_MOMENT.png
2025-12-27;09:58:04;30.98;83.1;141.55;saved_graphs/hit_20251227_095804_MOMENT.png
2025-12-27;09:58:07;20.46;54.9;96.51;saved_graphs/hit_20251227_095807_MOMENT.png
2025-12-27;09:58:12;21.06;56.5;33.65;saved_graphs/hit_20251227_095812_MOMENT.png
2025-12-27;09:58:21;28.66;76.9;205.55;saved_graphs/hit_20251227_095821_MOMENT.png
2025-12-27;09:58:24;25.66;68.9;156.80;saved_graphs/hit_20251227_095824_MOMENT.png
2025-12-27;09:58:27;23.56;63.2;133.50;saved_graphs/hit_20251227_095827_MOMENT.png
2025-12-27;09:58:30;22.51;60.4;261.09;saved_graphs/hit_20251227_095830_MOMENT.png
2025-12-27;09:58:36;40.86;109.7;270.41;saved_graphs/hit_20251227_095836_MOMENT.png
2025-12-27;09:58:39;43.00;115.4;284.61;saved_graphs/hit_20251227_095839_MOMENT.png
2025-12-27;09:58:42;40.01;107.4;232.72;saved_graphs/hit_20251227_095842_MOMENT.png
2025-12-27;09:58:45;47.18;126.6;340.68;saved_graphs/hit_20251227_095845_MOMENT.png
2025-12-27;09:58:48;42.81;114.9;137.38;saved_graphs/hit_20251227_095848_MOMENT.png
2025-12-27;09:58:51;47.70;128.0;245.45;saved_graphs/hit_20251227_095851_MOMENT.png
2025-12-27;09:58:57;46.55;124.9;308.17;saved_graphs/hit_20251227_095857_MOMENT.png
2025-12-27;09:59:00;41.05;110.2;260.29;saved_graphs/hit_20251227_095900_MOMENT.png
2025-12-27;09:59:03;34.57;92.8;357.54;saved_graphs/hit_20251227_095903_MOMENT.png
2025-12-27;09:59:06;44.02;118.1;284.31;saved_graphs/hit_20251227_095906_MOMENT.png
